id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Turtle Check Men Navy Blue Shirt
30805,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Ethnic,Fabindia Men Striped Green Shirt
26960,Women,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Jealous 21 Women Purple Shirt
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Formal,Reid & Taylor Men Check Purple Shirts
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Formal,John Players Men Navy Blue Shirt
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,2012.0,Casual,John Players Men Brown Shirt
9452,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Formal,John Miller Men Stripes White Red Shirts
4943,Men,Apparel,Topwear,Shirts,White,Summer,2011.0,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear
9660,Men,Apparel,Topwear,Shirts,Pink,Fall,2011.0,Casual,Indigo Nation Men Reversible Bling Pink Shirts
15984,Men,Apparel,Topwear,Shirts,Yellow,Fall,2011.0,Casual,Turtle Check Men Yellow Shirt
59297,Men,Apparel,Topwear,Shirts,White,Fall,2012.0,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt
7158,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Scullers Men  Green Check Shirt
16392,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Levis Men Check Red Shirts
6617,Men,Apparel,Topwear,Shirts,Black,Summer,2011.0,Casual,Spykar Men Black and white Check Shirt
22395,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Mark Taylor Men Striped Blue Shirt
12500,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,United Colors of Benetton Men Short Black Shirts
16530,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Locomotive Men Check Red Shirt
7167,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Scullers Men Scul Purple White Shirt
12190,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Basics Men Blue Slim Fit Checked Shirt
14055,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Flying Machine Men Check Green Shirts
34036,Boys,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Palm Tree Boys Check Blue Shirt
8779,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Indigo Nation Men Club Satin Hot Stepper Navy Blue Shirt
11143,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,Scullers Men Price Catch Black Shirts
11371,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,United Colors Of Benetton Men Summer Black Shirts
13846,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,John Miller Men Stripes Blue Shirts
15983,Men,Apparel,Topwear,Shirts,Burgundy,Fall,2011.0,Casual,Turtle Solid Men  Burgundy Shirt
43960,Men,Apparel,Topwear,Shirts,Grey,Summer,2012.0,Formal,Indigo Nation Men Grey Striped Shirt
8741,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Indigo Nation Men Checks Shirt Navy Blue Shirts
22359,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,John Players Men Check Blue Shirt
4944,Men,Apparel,Topwear,Shirts,White,Summer,2011.0,Casual,Gini and Jony Boy's Kaleb White Brown Infant Kidswear
9667,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Casual,Indigo Nation Men Bling Red Black Shirts
8587,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Scullers Men Red Check Shirt
9455,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Formal,John Miller Men Red Striped Shirt
26369,Women,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Arrow Woman Blue Shirt
33489,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Casual,Doodle Kids Boy Check Green Shirt
15977,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Turtle Solid Men Red Shirt
30802,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Ethnic,Fabindia Men Blue Shirt
16361,Men,Apparel,Topwear,Shirts,Maroon,Fall,2011.0,Formal,Peter England Men Stripes Maroon Shirt
34031,Boys,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,Gini and Jony Boys Check Blue Shirt
11144,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,Scullers Men Price Catch Black Shirts
14052,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Casual,Flying Machine Men Solid White Shirts
11712,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,Lee Men Solid Blue Shirts
25527,Women,Apparel,Topwear,Shirts,Green,Summer,2012.0,Casual,Wrangler Women Stella Green Shirt
13879,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Scullers Men Check Red Shirts
26958,Women,Apparel,Topwear,Shirts,Teal,Summer,2012.0,Casual,Jealous 21 Women Teal Shirt
13283,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Gini and Jony Kids Boys Check Blue Shirts
37224,Women,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,United Colors of Benetton Women Purple Shirt
21173,Women,Apparel,Topwear,Shirts,Grey,Fall,2011.0,Casual,s.Oliver Women Grey Shirt
6046,Men,Apparel,Topwear,Shirts,Green,Summer,2011.0,Casual,UCB Men Logo Chest Green Shirt
24065,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Locomotive Men Checked Green Shirt
16395,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,Levis Men Check Black Shirts
9658,Men,Apparel,Topwear,Shirts,Maroon,Fall,2011.0,Casual,Indigo Nation Men Reversible Bling Maroon Shirt
34038,Boys,Apparel,Topwear,Shirts,Red,Summer,2012.0,Casual,Gini and Jony Boys Check Red Shirt
8777,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Indigo Nation Men Price catch Blue Shirts
39727,Women,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Formal,Arrow Woman Blue Shirt
7169,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Scullers Men Scul Navy Blue Shirt
13870,Men,Apparel,Topwear,Shirts,Beige,Fall,2011.0,Casual,Scullers Men Stripes Beige Shirts
27877,Women,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Casual,Scullers For Her Women Printed Navy Blue Shirt
13884,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,Scullers Men Check Black Shirts
12358,Men,Apparel,Topwear,Shirts,Cream,Fall,2011.0,Formal,Reid & Taylor Men Solid Cream Shirts
9235,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Formal,Mark Taylor Men Plain Blue Shirts
9651,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Indigo Nation Men Checks Green Shirts
8783,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Indigo Nation Men Bling PC Red Shirt
4972,Men,Apparel,Topwear,Shirts,Green,Summer,2011.0,Casual,Gini and Jony Boy's Kangaroo Green White Kidswear
29773,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Casual,Wrangler Men Green Striped Shirt
9463,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,John Miller Men White Shirt
59299,Men,Apparel,Topwear,Shirts,Blue,Fall,2012.0,Casual,U.S. Polo Assn. Men Striped Blue Shirt
7156,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,Scullers Men Black Check Shirt
11724,Women,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Lee Women Check Red Shirts
22350,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,John Players Men Check Blue Shirt
13417,Men,Apparel,Topwear,Shirts,Blue,Summer,2011.0,Casual,United Colors of Benetton Men Solid Blue Shirts
41602,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Casual,Basics Men Navy Shirt
16357,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Formal,Peter England Men Stripes Blue Shirt
8748,Men,Apparel,Topwear,Shirts,Orange,Fall,2011.0,Casual,Indigo Nation Men Plain Orange Shirts
10430,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Flying Machine Men Ydc Blue Shirts
37212,Men,Apparel,Topwear,Shirts,Pink,Summer,2012.0,Casual,United Colors of Benetton Men Pink Shirt
12367,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,Reid & Taylor Men White Shirt
9804,Men,Apparel,Topwear,Shirts,Black,Fall,2011.0,Formal,John Miller Men Black Checks Shirts
21145,Women,Apparel,Topwear,Shirts,Black,Fall,2011.0,Casual,s.Oliver Women Printed Black Shirt
29774,Men,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Wrangler Men Purple Striped Shirt
9464,Men,Apparel,Topwear,Shirts,White,Fall,2011.0,Formal,John Miller Men  White Shirt
